Trials,Initial Mass(g),Final Mass(g),Difference of Masses(g),,
Trial 1 Open,147.64,145.96,1.68,,
Trial 1 Closed,149.46,147.91,1.55,,
Trial 2 Open,148.34,146.71,1.63,,
Trial 2 Closed,150.97,149.51,1.46,,
Trial 3 Open,146.51,144.94,1.57,,
Trial 3 Closed,150.31,148.85,1.46,,
